1 15401.3
2 42633.9
3 70565.1
4 97221.8
5 127950
6 155138
7 177601
8 200462
9 224108
10 240650
11 261936
12 283437
13 305036
14 326145
15 345917
16 352188
18 391995
20 417784
22 457464
24 488880
26 527540
28 572476
30 602620
32 651544
36 743071
40 817057
44 869620
48 934585
52 986634
56 1.05923e+06
60 1.13725e+06
64 1.21983e+06
72 1.35912e+06
80 1.47521e+06
88 1.63391e+06
96 1.78765e+06
104 1.89589e+06
112 2.0431e+06
120 2.11229e+06
128 2.26641e+06
144 2.51909e+06
160 2.76819e+06
176 3.02578e+06
192 3.27743e+06
208 3.56346e+06
224 3.80972e+06
240 3.89255e+06
256 4.02795e+06
288 4.25201e+06
320 4.51326e+06
352 4.77176e+06
384 5.02384e+06
416 5.19815e+06
448 5.44967e+06
