1 31831.6
2 55585
3 67423.6
4 92662
5 118275
6 147099
7 170023
8 196110
9 222534
10 247801
11 275351
12 299935
13 322442
14 351291
15 385969
16 388197
18 436321
20 469816
22 521896
24 562458
26 619675
28 747273
30 787690
32 865775
36 997941
40 1.11034e+06
44 1.20289e+06
48 1.2832e+06
52 1.38114e+06
56 1.50893e+06
60 1.57161e+06
64 1.69563e+06
72 1.89743e+06
80 2.11534e+06
88 2.30467e+06
96 2.63526e+06
104 2.82383e+06
112 2.94602e+06
120 3.19011e+06
128 3.35958e+06
144 3.68261e+06
160 4.0018e+06
176 4.3288e+06
192 4.64956e+06
208 4.96405e+06
224 5.33869e+06
240 5.44913e+06
256 5.66592e+06
288 5.95172e+06
320 6.36984e+06
352 6.57793e+06
384 6.91457e+06
416 7.22049e+06
448 7.44418e+06
