1 294.456 277.457 308.087
2 296.699 290.206 312.5
3 297.695 292.326 306.122
4 302.194 298.322 309.478
5 303.278 298.582 326.531
6 307.898 299.128 342.287
7 304.711 299.625 325.14
8 303.293 299.205 312.602
10 306.131 299.476 324.5
12 315.622 308.682 364.88
14 318.462 310.221 342.962
16 317.95 306.734 341.06
20 316.661 306.064 351.185
24 314.821 305.7 339.763
28 322.595 309.578 371.62
32 319.262 308.595 340.019
40 320.001 309.02 348.546
48 316.942 308.599 332.804
56 318.24 310.235 359.772
64 315.271 308.607 334.794
80 315.254 309.079 337.737
96 315.976 309.345 339.813
112 316.696 311.194 331.578
128 345.569 339.703 360.212
160 395.633 389.105 414.866
192 439.278 431.707 462.302
224 478.895 468.693 516.471
256 487.621 476.482 515.886
320 528.337 513.225 554.177
384 566.767 536.81 599.567
420 611.819 579.167 694.674
