1 295.891 291.971 303.797
2 1255.23 1071.43 1445.78
3 2938.32 2337.66 4235.29
4 4714.28 3555.56 5714.29
5 6164.79 4878.05 6741.57
6 7939.73 6857.14 8571.43
7 8901.47 7567.57 9655.17
8 10128.1 9230.77 10909.1
10 12279.9 10909.1 13043.5
12 14794.5 12857.1 16363.6
14 17189.7 15000 19764.7
16 19564 18640.8 21573
20 23813.1 22857.1 26087
24 28371.3 24615.4 30000
28 30494.3 30000 33267.3
32 38564.6 36571.4 40000
40 40228.1 40000 41739.1
48 57772.1 46451.6 60000
56 60000 60000 60000
64 60000 60000 60000
80 80693.5 60000 101053
96 119595 115200 120000
112 120000 120000 120000
128 120000 120000 120000
160 120000 120000 120000
192 120000 120000 120000
224 120000 120000 120000
256 120000 120000 120000
320 120000 120000 120000
384 120000 120000 120000
420 120000 120000 120000
