1 16867.3
2 29394.1
3 40368.1
4 50064.4
5 61353.5
6 70973.5
7 79879.3
8 89329.5
9 96759
10 105899
11 112803
12 119172
13 127693
14 134655
15 141772
16 144577
18 158231
20 167108
22 180135
24 189424
26 201394
28 213521
30 204542
32 195507
36 177658
40 164310
44 154967
48 149398
52 150013
56 159219
60 158130
64 159472
72 168635
80 188584
88 194529
96 201077
104 212825
112 220389
120 216361
128 213477
144 207774
160 185126
176 160910
192 148995
208 147341
224 147628
240 152419
256 158054
288 171096
320 181288
352 183537
384 182551
416 183117
448 177947
