2001.09	1300
2000.97	1400
2001.79	1400
2000.97	1500
2001.71	1500
2001.59	1600
2001.71	1600
2001.40	1700
2001.71	1700
2001.59	1800
2001.71	1800
2002.71	1900
2001.74	1900
2001.71	2000
2001.74	2000
2002.12	1600
2002.12	1800
2002.10	2000
2002.10	2200
2002.43	2266
2002.34	2400
2002.43	2400
2002.74	2500
2002.43	2533
2002.74	2600
2002.74	2667
2002.74	2800
2004.29	2400
2004.17	2800
2005.04	2667
2006.04	2667
2005.54	2667
2005.04	2933
2005.04	2933
2005.79	2933
2005.04	3066
2003.47	2400
2003.47	2600
2003.47	2800
2003.37	3000
2002.96	3066
2003.56	3200
2004.17	3400
2004.17	2800
2004.17	3000
2004.17	3200
2004.71	3200
2004.17	3400
2004.71	3400
2004.68	3600
2004.96	3800
2005.79	2933
2004.54	2800
2004.87	2800
2005.53	2800
2004.54	3000
2004.87	3000
2005.53	3000
2004.56	3200
2004.87	3200
2005.53	3200
2004.56	3400
2004.87	3400
2005.53	3400
2004.56	3600
2004.87	3600
2005.53	3600
2004.95	3800
2005.53	3800
2005.22	3000
2005.22	3200
2005.22	3400
2005.22	3600
2005.96	3600
2005.49	3800
2005.96	3800
2006.13	3000
2006.13	3200
2006.13	3400
2006.13	3600
2003.79	3200
2004.17	3400
2004.54	3400
2004.92	3466
2005.22	3733
