1998.54	400
1999.54	400
1998.87	450
1999.12	450
2000.12	450
1999.30	500
1999.30	500
1999.30	500
1999.35	550
1999.35	550
1999.35	550
1999.87	600
1999.90	667
1999.90	700
2000.48	700
2000.48	700
1999.90	733
2000.12	800
2000.29	866
2001.31	900
2000.62	933
2000.73	1000
2001.47	1400
2001.47	1500
2001.47	1700
2001.79	2000
2002.24	1800
2002.24	2000
2002.97	2000
2002.24	2200
2002.40	2400
2002.97	2400
2002.78	2600
2002.97	2667
2002.78	2800
2002.97	2800
2003.28	3000
2003.28	3066
2003.79	1600
2003.79	2000
2003.80	2400
