1 19854
2 32425.8
3 44570.2
4 55190.1
5 65262.8
6 75159
7 83872.4
8 92587.4
9 100847
10 109781
11 116924
12 122925
13 131598
14 136981
15 144275
16 146409
18 160070
20 168314
22 181361
24 190316
26 202608
28 214656
30 206409
32 197844
36 182763
40 172034
44 154307
48 155542
52 157712
56 156692
60 158466
64 166895
72 178206
80 188606
88 198277
96 212327
104 218650
112 229778
120 226262
128 222332
144 217050
160 191527
176 164556
192 150951
208 148394
224 147439
240 152445
256 158353
288 171263
320 183838
352 186978
384 185979
416 184996
448 179595
