1 28971.4
2 52184.3
3 70534.9
4 88876.4
5 107198
6 122395
7 137121
8 151267
9 166170
10 178831
11 189894
12 199814
13 210075
14 221186
15 229406
16 230811
18 250202
20 261710
22 281332
24 293880
26 312256
28 335245
30 318336
32 305225
36 274760
40 244602
44 235631
48 214255
52 218621
56 216037
60 219124
64 221947
72 238555
80 242478
88 246333
96 250126
104 247201
112 246863
120 244719
128 241784
144 237509
160 205110
176 181489
192 175014
208 172317
224 172441
240 175707
256 181880
288 188928
320 191666
352 190808
384 189907
416 188742
448 185952
