1 54851.7
2 98959.5
3 137572
4 180640
5 222060
6 259036
7 295486
8 330003
9 369789
10 410697
11 447648
12 480225
13 528485
14 566983
15 601123
16 614600
18 689791
20 746028
22 818098
24 870042
26 945983
28 1.13362e+06
30 1.20402e+06
32 1.28046e+06
36 1.4632e+06
40 1.6201e+06
44 1.73213e+06
48 1.87879e+06
52 2.02849e+06
56 2.18884e+06
60 2.32909e+06
64 2.48576e+06
72 2.77186e+06
80 3.02435e+06
88 3.4711e+06
96 3.81951e+06
104 4.10382e+06
112 4.3555e+06
120 4.5756e+06
128 4.81e+06
144 5.21848e+06
160 5.72122e+06
176 6.14241e+06
192 6.57659e+06
208 7.05422e+06
224 7.48339e+06
240 7.57976e+06
256 7.68556e+06
288 7.88401e+06
320 8.05903e+06
352 8.34621e+06
384 8.61067e+06
416 8.8836e+06
448 9.08802e+06
