1 28907.7
2 50676.9
3 69087
4 89880.8
5 109260
6 126300
7 142490
8 156039
9 174893
10 189636
11 207039
12 217777
13 229166
14 250965
15 258338
16 263405
18 292255
20 307380
22 336415
24 357880
26 385673
28 418700
30 458818
32 494625
36 552504
40 612733
44 657799
48 710073
52 752743
56 806476
60 862270
64 929118
72 1.03668e+06
80 1.13141e+06
88 1.24852e+06
96 1.36714e+06
104 1.46435e+06
112 1.49027e+06
120 1.59909e+06
128 1.69201e+06
144 1.8744e+06
160 2.06297e+06
176 2.25339e+06
192 2.43771e+06
208 2.63954e+06
224 2.83707e+06
240 2.89701e+06
256 2.96806e+06
288 3.13698e+06
320 3.28513e+06
352 3.44692e+06
384 3.61079e+06
416 3.7782e+06
448 3.82911e+06
