1 30357.8
2 52066.4
3 71128.6
4 88379.2
5 106314
6 122239
7 136777
8 151296
9 166800
10 181215
11 195610
12 206181
13 221356
14 233844
15 245734
16 247355
18 272253
20 286335
22 310144
24 327692
26 351782
28 374168
30 402382
32 428357
36 480412
40 532640
44 574858
48 614974
52 655649
56 701562
60 754076
64 806390
72 898530
80 979360
88 1.07757e+06
96 1.17679e+06
104 1.25671e+06
112 1.33796e+06
120 1.44122e+06
128 1.53466e+06
144 1.71283e+06
160 1.89355e+06
176 2.07784e+06
192 2.25011e+06
208 2.44795e+06
224 2.61307e+06
240 2.65032e+06
256 2.71627e+06
288 2.82806e+06
320 2.9497e+06
352 3.07338e+06
384 3.18109e+06
416 3.30408e+06
448 3.3593e+06
