1 24422.2
2 42434.3
3 59091.2
4 73307
5 87803.7
6 101356
7 114173
8 126681
9 138711
10 151813
11 163917
12 174087
13 186516
14 198346
15 207653
16 211386
18 232417
20 245302
22 266081
24 281783
26 302741
28 323366
30 349597
32 372019
36 418629
40 464017
44 500344
48 536318
52 574148
56 608489
60 658350
64 702037
72 784737
80 856704
88 943704
96 1.03491e+06
104 1.10281e+06
112 1.1474e+06
120 1.23969e+06
128 1.32122e+06
144 1.47573e+06
160 1.62903e+06
176 1.7841e+06
192 1.94165e+06
208 2.10931e+06
224 2.25411e+06
240 2.29996e+06
256 2.35753e+06
288 2.47974e+06
320 2.59236e+06
352 2.72337e+06
384 2.84291e+06
416 2.97e+06
448 2.9952e+06
