1 17132
2 29232
3 40983.7
4 52525
5 65827.9
6 78436.8
7 89153.1
8 99178.1
9 114943
10 125186
11 134452
12 147416
13 159364
14 167520
15 179650
16 178173
18 207580
20 213143
22 235918
24 255811
26 270505
28 301477
30 328741
32 350884
36 401724
40 442517
44 480718
48 515614
52 549421
56 585986
60 628333
64 676862
72 760543
80 826801
88 914519
96 1.00324e+06
104 1.07416e+06
112 1.07478e+06
120 1.15373e+06
128 1.22734e+06
144 1.3695e+06
160 1.50856e+06
176 1.6537e+06
192 1.79184e+06
208 1.93286e+06
224 2.09127e+06
240 2.20004e+06
256 2.30522e+06
288 2.53364e+06
320 2.73381e+06
352 2.90538e+06
384 3.11175e+06
416 3.31856e+06
448 3.47215e+06
