1 412.998
2 964.042
3 1406.39
4 1922.48
5 2250.21
6 2555.45
7 3242.09
8 3485.99
9 3932.63
10 4337.3
11 4386.52
12 4810.65
13 5333.63
14 5963.75
15 6305.69
16 6747.13
18 7891.64
20 8140.92
22 8823.95
24 9092.97
26 10335.4
28 10302.8
30 11098.8
32 13074.4
36 14479.7
40 17009.7
44 17513.9
48 18849.1
52 20217.9
56 22343.2
60 22713.8
64 25115.9
72 26404.9
80 28488.9
88 30658.6
96 33825.3
104 35198.1
112 36259.4
120 44274.4
128 52710.3
144 67682.6
160 84638.1
176 100416
192 115203
208 134402
224 147726
240 157449
256 167776
288 177953
320 180647
352 243660
384 241940
416 120145
448 95191.6
