1 3.99358 3.45562 4.27396
2 3.83113 3.45205 4.15872
3 3.8175 3.56729 4.0234
4 3.86739 3.68304 4.00822
5 3.82681 3.61403 4.00051
6 3.81829 3.63256 3.92335
7 3.794 3.64052 3.9869
8 3.77707 3.60702 3.90817
9 3.79536 3.62929 3.90455
10 3.78425 3.55909 3.88904
11 3.79274 3.66003 3.90889
12 3.77474 3.6381 3.87274
13 3.80011 3.68914 3.87033
14 3.79323 3.71269 3.91895
15 3.78375 3.69146 3.90749
16 3.78889 3.69152 3.88162
18 3.76728 3.66053 3.83888
20 3.77232 3.70264 3.83279
22 3.7842 3.69928 3.85968
24 3.7726 3.68846 3.83056
26 3.76255 3.62578 3.85896
28 3.77185 3.6865 3.83664
30 3.79902 3.70839 3.88575
32 3.78582 3.71655 3.88681
36 3.81442 3.71055 3.89434
40 3.83644 3.76475 3.9149
44 3.84963 3.77298 3.92242
48 3.86611 3.79305 3.97153
52 3.87042 3.69679 3.94984
56 3.89055 3.78183 3.96979
60 3.91089 3.82622 4.03723
64 3.95005 3.7913 4.09458
72 4.0168 3.92904 4.0994
80 4.0851 3.97425 4.31136
88 4.22111 4.10354 4.37808
96 4.37233 4.28883 4.49265
104 4.53441 4.4524 4.6871
112 4.71481 4.6461 4.8924
120 4.88612 4.7951 5.01937
128 5.06602 4.95966 5.22551
144 5.37871 5.27957 5.43752
160 5.68282 5.60403 5.7756
