1 14306.9
2 26581.4
3 39882.5
4 56097.7
5 75556.4
6 92941.7
7 110622
8 132631
9 148285
10 168185
11 190820
12 204041
13 230540
14 250698
15 263865
16 279096
18 318733
20 351120
22 383378
24 415442
26 457633
28 561833
30 599947
32 644783
36 732412
40 821412
44 890244
48 967478
52 1.02812e+06
56 1.10725e+06
60 1.18151e+06
64 1.25958e+06
72 1.43142e+06
80 1.56908e+06
88 1.78019e+06
96 1.93225e+06
104 2.06137e+06
112 2.22759e+06
120 2.30344e+06
128 2.48123e+06
144 2.7005e+06
160 2.96895e+06
176 3.21696e+06
192 3.46389e+06
208 3.72693e+06
224 3.97028e+06
240 4.21493e+06
256 4.42948e+06
288 4.87965e+06
320 5.29701e+06
352 5.64406e+06
384 6.08348e+06
416 6.42755e+06
448 6.69461e+06
