1 178796
2 177054
3 178580
4 176510
5 177476
6 176185
7 174803
8 175232
9 174934
10 175863
11 174875
12 174669
13 175429
14 173429
15 174842
16 172687
18 172166
20 170841
22 170654
24 169292
26 170438
28 170715
30 168949
32 168120
36 168163
40 166556
44 167101
48 163684
52 163987
56 162592
60 159022
64 156195
72 156234
80 156778
88 153350
96 149223
104 147276
112 146988
120 141953
128 137159
144 130918
160 120046
176 110642
192 104439
208 96038.2
224 83128.3
240 81682
256 76033.6
288 72299
320 67761.7
352 55759.5
384 36453.4
416 17909.1
448 0
