1 10966.6
2 20573.7
3 30854.4
4 41466
5 50598.4
6 59960.3
7 68601.4
8 78642.1
9 88337.8
10 97124.3
11 105423
12 113715
13 122488
14 132187
15 139722
16 141426
18 157677
20 168270
22 183764
24 195721
26 211477
28 229792
30 248046
32 266548
36 301056
40 335621
44 362739
48 390052
52 417226
56 446335
60 481297
64 515660
72 577188
80 631715
88 695935
96 765789
104 820096
112 848235
120 914143
128 973878
144 1.08553e+06
160 1.20861e+06
176 1.32503e+06
192 1.43962e+06
208 1.5628e+06
224 1.67682e+06
240 1.76578e+06
256 1.85505e+06
288 2.03445e+06
320 2.20571e+06
352 2.36946e+06
384 2.53785e+06
416 2.70748e+06
448 2.78872e+06
