1 13464.1
2 24801.5
3 34827
4 44440.2
5 53739.5
6 62586.2
7 71099.9
8 79138.4
9 86674
10 95264.9
11 102196
12 109144
13 116574
14 123159
15 129829
16 131855
18 145915
20 153965
22 166806
24 177278
26 189635
28 201856
30 193475
32 181385
36 166703
40 156221
44 149770
48 144291
52 143633
56 150711
60 160042
64 164124
72 171986
80 179672
88 198948
96 207372
104 219779
112 228486
120 224044
128 220017
144 214583
160 188040
176 161291
192 147841
208 145200
224 144299
240 149855
256 156320
288 169726
320 183088
352 186784
384 186194
416 184516
448 180120
