1 15588.2
2 29808.2
3 41312.2
4 53724.3
5 66804.6
6 81028
7 92948.8
8 105439
9 117570
10 129644
11 142433
12 151923
13 164703
14 175176
15 184644
16 191063
18 213867
20 225128
22 249315
24 264475
26 286567
28 318437
30 343749
32 369696
36 419233
40 465213
44 504563
48 538554
52 578204
56 617350
60 665357
64 712833
72 799275
80 876125
88 970114
96 1.06755e+06
104 1.13992e+06
112 1.16689e+06
120 1.25457e+06
128 1.33511e+06
144 1.48628e+06
160 1.64474e+06
176 1.80393e+06
192 1.95508e+06
208 2.11375e+06
224 2.28124e+06
240 2.35394e+06
256 2.4264e+06
288 2.56674e+06
320 2.70485e+06
352 2.84403e+06
384 2.9839e+06
416 3.12732e+06
448 3.18415e+06
