1 9941.8
2 18442.4
3 25981.5
4 33223
5 40462
6 47285.2
7 53731.1
8 60152.9
9 66752.6
10 73189.4
11 79443.7
12 85204
13 91507.8
14 97298
15 102893
16 105477
18 117400
20 125293
22 136784
24 145807
26 157397
28 168437
30 161493
32 156144
36 148820
40 142289
44 142287
48 143061
52 150620
56 158591
60 165499
64 165191
72 174841
80 185779
88 194012
96 210126
104 219730
112 229373
120 224591
128 221591
144 215889
160 188660
176 161269
192 145321
208 141307
224 139708
240 144365
256 149871
288 161889
320 174911
352 180906
384 180738
416 179252
448 170289
