# Generated by timeskew on an x86 system
69.040467085 69.040467000 69.040467160 69.040467233 -8.5e-08 7.5e-08 7.3e-08
70.041419300 70.041419290 70.041419512 70.041419586 -1e-08 2.12e-07 7.4e-08
71.041933955 71.041933927 71.041934130 71.041934202 -2.8e-08 1.75e-07 7.2e-08
72.042863913 72.042863827 72.042864022 72.042864060 -8.6e-08 1.09e-07 3.8e-08
73.043822063 73.043822051 73.043822286 73.043822359 -1.2e-08 2.23e-07 7.3e-08
74.044778369 74.044778347 74.044778552 74.044778625 -2.2e-08 1.83e-07 7.3e-08
75.045730088 75.045730005 75.045730178 75.045730255 -8.3e-08 9e-08 7.7e-08
76.046679728 76.046679643 76.046679803 76.046679856 -8.5e-08 7.5e-08 5.3e-08
77.047628621 77.047628536 77.047628735 77.047628812 -8.5e-08 1.14e-07 7.7e-08
78.048577160 78.048577076 78.048577236 78.048577272 -8.4e-08 7.6e-08 3.6e-08
79.049537253 79.049537235 79.049537451 79.049537526 -1.8e-08 1.98e-07 7.5e-08
80.050483295 80.050483210 80.050483414 80.050483488 -8.5e-08 1.19e-07 7.4e-08
81.051432245 81.051432266 81.051432477 81.051432550 2.1e-08 2.32e-07 7.3e-08
82.051831867 82.051831784 82.051831947 82.051831989 -8.3e-08 8e-08 4.2e-08
83.052777470 83.052777402 83.052777563 83.052777622 -6.8e-08 9.3e-08 5.9e-08
84.053720042 84.053719973 84.053720135 84.053720204 -6.9e-08 9.3e-08 6.9e-08
85.054660537 85.054660467 85.054660627 85.054660664 -7e-08 9e-08 3.7e-08
86.055600550 86.055600501 86.055600705 86.055600778 -4.9e-08 1.55e-07 7.3e-08
87.056558049 87.056557964 87.056558167 87.056558239 -8.5e-08 1.18e-07 7.2e-08
88.057495779 88.057495710 88.057495913 88.057495986 -6.9e-08 1.34e-07 7.3e-08
89.058431659 89.058431646 89.058431847 89.058431921 -1.3e-08 1.88e-07 7.4e-08
90.058607421 90.058607368 90.058607559 90.058607636 -5.3e-08 1.38e-07 7.7e-08
91.059518760 91.059518743 91.059518949 91.059519024 -1.7e-08 1.89e-07 7.5e-08
92.060465890 92.060465859 92.060466059 92.060466130 -3.1e-08 1.69e-07 7.1e-08
93.060841980 93.060841965 93.060842174 93.060842245 -1.5e-08 1.94e-07 7.1e-08
94.061762119 94.061762036 94.061762196 94.061762254 -8.3e-08 7.7e-08 5.8e-08
95.062681270 95.062681226 95.062681440 95.062681511 -4.4e-08 1.7e-07 7.1e-08
96.063645704 96.063645660 96.063645869 96.063645942 -4.4e-08 1.65e-07 7.3e-08
97.064561922 97.064561872 97.064562055 97.064562137 -5e-08 1.33e-07 8.2e-08
98.065477058 98.065477047 98.065477264 98.065477348 -1.1e-08 2.06e-07 8.4e-08
99.066391258 99.066391253 99.066391459 99.066391527 -5e-09 2.01e-07 6.8e-08
100.067304738 100.067304713 100.067304930 100.067305004 -2.5e-08 1.92e-07 7.4e-08
101.068205472 101.068205436 101.068205654 101.068205740 -3.6e-08 1.82e-07 8.6e-08
102.068891378 102.068891328 102.068891514 102.068891594 -5e-08 1.36e-07 8e-08
103.069837258 103.069837236 103.069837452 103.069837534 -2.2e-08 1.94e-07 8.2e-08
104.070151214 104.070151192 104.070151402 104.070151490 -2.2e-08 1.88e-07 8.8e-08
105.071065956 105.071065943 105.071066159 105.071066246 -1.3e-08 2.03e-07 8.7e-08
106.071995504 106.071995453 106.071995655 106.071995729 -5.1e-08 1.51e-07 7.4e-08
107.072906377 107.072906307 107.072906479 107.072906577 -7e-08 1.02e-07 9.8e-08
108.073815122 108.073815036 108.073815183 108.073815259 -8.6e-08 6.1e-08 7.6e-08
109.074722642 109.074722557 109.074722717 109.074722780 -8.5e-08 7.5e-08 6.3e-08
110.075630415 110.075630407 110.075630611 110.075630683 -8e-09 1.96e-07 7.2e-08
111.076480625 111.076480614 111.076480828 111.076480919 -1.1e-08 2.03e-07 9.1e-08
112.077403180 112.077403169 112.077403372 112.077403445 -1.1e-08 1.92e-07 7.3e-08
113.078309076 113.078309012 113.078309211 113.078309283 -6.4e-08 1.35e-07 7.2e-08
114.079252780 114.079252758 114.079252974 114.079253050 -2.2e-08 1.94e-07 7.6e-08
115.079502581 115.079502530 115.079502731 115.079502805 -5.1e-08 1.5e-07 7.4e-08
116.079557994 116.079557970 116.079558178 116.079558250 -2.4e-08 1.84e-07 7.2e-08
117.079958942 117.079958914 117.079959136 117.079959211 -2.8e-08 1.94e-07 7.5e-08
118.080860048 118.080860036 118.080860253 118.080860326 -1.2e-08 2.05e-07 7.3e-08
119.081758412 119.081758401 119.081758630 119.081758711 -1.1e-08 2.18e-07 8.1e-08
120.082657446 120.082657396 120.082657566 120.082657616 -5e-08 1.2e-07 5e-08
121.083558497 121.083558461 121.083558670 121.083558757 -3.6e-08 1.73e-07 8.7e-08
122.084390794 122.084390710 122.084390913 122.084390949 -8.4e-08 1.19e-07 3.6e-08
123.085327877 123.085327808 123.085328006 123.085328077 -6.9e-08 1.29e-07 7.1e-08
124.086233445 124.086233375 124.086233581 124.086233655 -7e-08 1.36e-07 7.4e-08
125.087176818 125.087176800 125.087177017 125.087177106 -1.8e-08 1.99e-07 8.9e-08
126.087449335 126.087449265 126.087449497 126.087449559 -7e-08 1.62e-07 6.2e-08
127.088276571 127.088276546 127.088276764 127.088276849 -2.5e-08 1.93e-07 8.5e-08
128.089092910 128.089092864 128.089093068 128.089093141 -4.6e-08 1.58e-07 7.3e-08
129.089795578 129.089795533 129.089795736 129.089795810 -4.5e-08 1.58e-07 7.4e-08
130.090612757 130.090612746 130.090612962 130.090613035 -1.1e-08 2.05e-07 7.3e-08
131.091369928 131.091369901 131.091370117 131.091370198 -2.7e-08 1.89e-07 8.1e-08
132.092209790 132.092209773 132.092209978 132.092210050 -1.7e-08 1.88e-07 7.2e-08
133.093095948 133.093095909 133.093096112 133.093096185 -3.9e-08 1.64e-07 7.3e-08
134.093973950 134.093973908 134.093974137 134.093974210 -4.2e-08 1.87e-07 7.3e-08
135.094877753 135.094877704 135.094877905 135.094877962 -4.9e-08 1.52e-07 5.7e-08
136.095817865 136.095817797 136.095817974 136.095818044 -6.8e-08 1.09e-07 7e-08
137.096079708 137.096079680 137.096079891 137.096079954 -2.8e-08 1.83e-07 6.3e-08
138.096962339 138.096962311 138.096962528 138.096962603 -2.8e-08 1.89e-07 7.5e-08
139.097885816 139.097885804 139.097886007 139.097886081 -1.2e-08 1.91e-07 7.4e-08
140.098755534 140.098755524 140.098755725 140.098755796 -1e-08 1.91e-07 7.1e-08
141.099473587 141.099473587 141.099473799 141.099473873 0 2.12e-07 7.4e-08
142.100407974 142.100407922 142.100408121 142.100408192 -5.2e-08 1.47e-07 7.1e-08
