# Generated by timeskew on an x86 system
795.537084137 795.537084068 795.537084245 795.537084316 -6.9e-08 1.08e-07 7.1e-08
796.538034928 796.538034843 796.538035004 796.538035071 -8.5e-08 7.6e-08 6.7e-08
797.538993331 797.538993262 797.538993438 797.538993509 -6.9e-08 1.07e-07 7.1e-08
798.539941241 798.539941201 798.539941390 798.539941458 -4e-08 1.49e-07 6.8e-08
799.540889102 799.540889061 799.540889244 799.540889338 -4.1e-08 1.42e-07 9.4e-08
800.541831274 800.541831190 800.541831350 800.541831389 -8.4e-08 7.6e-08 3.9e-08
801.542784184 801.542784114 801.542784287 801.542784357 -7e-08 1.03e-07 7e-08
802.543724791 802.543724723 802.543724882 802.543724968 -6.8e-08 9.1e-08 8.6e-08
803.544663611 803.544663525 803.544663702 803.544663750 -8.6e-08 9.1e-08 4.8e-08
804.545600002 804.545599906 804.545600053 804.545600108 -9.6e-08 5.1e-08 5.5e-08
805.546548257 805.546548244 805.546548476 805.546548551 -1.3e-08 2.19e-07 7.5e-08
806.547483179 806.547483129 806.547483300 806.547483373 -5e-08 1.21e-07 7.3e-08
807.548415859 807.548415801 807.548415977 807.548416051 -5.8e-08 1.18e-07 7.4e-08
808.549349678 808.549349609 808.549349781 808.549349860 -6.9e-08 1.03e-07 7.9e-08
809.550289142 809.550289072 809.550289244 809.550289298 -7e-08 1.02e-07 5.4e-08
810.551218463 810.551218460 810.551218655 810.551218722 -3e-09 1.92e-07 6.7e-08
811.552145913 811.552145842 811.552146050 811.552146111 -7.1e-08 1.37e-07 6.1e-08
812.553071081 812.553070996 812.553071156 812.553071206 -8.5e-08 7.5e-08 5e-08
813.554005008 813.554004938 813.554005100 813.554005175 -7e-08 9.2e-08 7.5e-08
814.554964003 814.554963933 814.554964106 814.554964145 -7e-08 1.03e-07 3.9e-08
815.555886473 815.555886432 815.555886638 815.555886713 -4.1e-08 1.65e-07 7.5e-08
816.556805591 816.556805521 816.556805710 816.556805796 -7e-08 1.19e-07 8.6e-08
817.557733353 817.557733284 817.557733490 817.557733553 -6.9e-08 1.37e-07 6.3e-08
818.558649312 818.558649230 818.558649388 818.558649451 -8.2e-08 7.6e-08 6.3e-08
819.559567864 819.559567778 819.559567938 819.559567987 -8.6e-08 7.4e-08 4.9e-08
820.560481162 820.560481077 820.560481237 820.560481298 -8.5e-08 7.5e-08 6.1e-08
821.561404336 821.561404267 821.561404444 821.561404519 -6.9e-08 1.08e-07 7.5e-08
822.562312793 822.562312707 822.562312867 822.562312923 -8.6e-08 7.4e-08 5.6e-08
823.563224055 823.563223986 823.563224156 823.563224238 -6.9e-08 1.01e-07 8.2e-08
824.564131094 824.564131050 824.564131222 824.564131307 -4.4e-08 1.28e-07 8.5e-08
825.565047152 825.565047094 825.565047282 825.565047355 -5.8e-08 1.3e-07 7.3e-08
826.565950618 826.565950533 826.565950696 826.565950735 -8.5e-08 7.8e-08 3.9e-08
827.566854247 827.566854177 827.566854350 827.566854422 -7e-08 1.03e-07 7.2e-08
828.567753997 828.567753912 828.567754072 828.567754123 -8.5e-08 7.5e-08 5.1e-08
829.568664997 829.568664910 829.568665070 829.568665119 -8.7e-08 7.3e-08 4.9e-08
830.569563923 830.569563868 830.569564084 830.569564162 -5.5e-08 1.61e-07 7.8e-08
831.570462200 831.570462131 831.570462336 831.570462408 -6.9e-08 1.36e-07 7.2e-08
832.571356925 832.571356840 832.571356988 832.571357042 -8.5e-08 6.3e-08 5.4e-08
833.572265614 833.572265603 833.572265820 833.572265893 -1.1e-08 2.06e-07 7.3e-08
834.573157867 834.573157840 834.573158029 834.573158102 -2.7e-08 1.62e-07 7.3e-08
835.574050937 835.574050926 835.574051133 835.574051207 -1.1e-08 1.96e-07 7.4e-08
836.574940719 836.574940668 836.574940839 836.574940915 -5.1e-08 1.2e-07 7.6e-08
837.575875803 837.575875780 837.575876012 837.575876086 -2.3e-08 2.09e-07 7.4e-08
838.576765858 838.576765816 838.576766046 838.576766121 -4.2e-08 1.88e-07 7.5e-08
839.577697134 839.577697048 839.577697227 839.577697302 -8.6e-08 9.3e-08 7.5e-08
840.578644839 840.578644755 840.578644957 840.578645029 -8.4e-08 1.18e-07 7.2e-08
841.579573175 841.579573089 841.579573295 841.579573369 -8.6e-08 1.2e-07 7.4e-08
842.580453722 842.580453625 842.580453773 842.580453825 -9.7e-08 5.1e-08 5.2e-08
843.581380652 843.581380566 843.581380726 843.581380811 -8.6e-08 7.4e-08 8.5e-08
844.582264236 844.582264195 844.582264413 844.582264496 -4.1e-08 1.77e-07 8.3e-08
845.583190620 845.583190563 845.583190739 845.583190815 -5.7e-08 1.19e-07 7.6e-08
846.584070437 846.584070352 846.584070513 846.584070570 -8.5e-08 7.6e-08 5.7e-08
847.584994324 847.584994268 847.584994444 847.584994516 -5.6e-08 1.2e-07 7.2e-08
848.585871238 848.585871152 848.585871329 848.585871378 -8.6e-08 9.1e-08 4.9e-08
849.585950499 849.585950413 849.585950589 849.585950638 -8.6e-08 9e-08 4.9e-08
850.586217877 850.586217841 850.586218030 850.586218105 -3.6e-08 1.53e-07 7.5e-08
851.587141469 851.587141454 851.587141658 851.587141729 -1.5e-08 1.89e-07 7.1e-08
852.588011760 852.588011742 852.588011919 852.588012006 -1.8e-08 1.59e-07 8.7e-08
853.588935549 853.588935525 853.588935743 853.588935817 -2.4e-08 1.94e-07 7.4e-08
854.589801496 854.589801398 854.589801575 854.589801632 -9.8e-08 7.9e-08 5.7e-08
855.590720298 855.590720255 855.590720454 855.590720528 -4.3e-08 1.56e-07 7.4e-08
856.591582739 856.591582669 856.591582842 856.591582916 -7e-08 1.03e-07 7.4e-08
857.592502321 857.592502252 857.592502423 857.592502498 -6.9e-08 1.02e-07 7.5e-08
858.593363853 858.593363813 858.593364044 858.593364116 -4e-08 1.91e-07 7.2e-08
859.594305987 859.594305918 859.594306151 859.594306232 -6.9e-08 1.64e-07 8.1e-08
860.595163574 860.595163483 860.595163645 860.595163698 -9.1e-08 7.1e-08 5.3e-08
861.596076743 861.596076675 861.596076836 861.596076957 -6.8e-08 9.3e-08 1.21e-07
862.596956474 862.596956388 862.596956537 862.596956602 -8.6e-08 6.3e-08 6.5e-08
863.597382450 863.597382442 863.597382649 863.597382722 -8e-09 1.99e-07 7.3e-08
864.598336189 864.598336106 864.598336270 864.598336360 -8.3e-08 8.1e-08 9e-08
865.599246736 865.599246678 865.599246884 865.599246955 -5.8e-08 1.48e-07 7.1e-08
866.600202524 866.600202449 866.600202624 866.600202671 -7.5e-08 1e-07 4.7e-08
867.601075852 867.601075810 867.601075999 867.601076085 -4.2e-08 1.47e-07 8.6e-08
868.601948011 868.601947999 868.601948232 868.601948305 -1.2e-08 2.21e-07 7.3e-08
869.602855985 869.602855975 869.602856210 869.602856286 -1e-08 2.25e-07 7.6e-08
870.603800619 870.603800534 870.603800694 870.603800764 -8.5e-08 7.5e-08 7e-08
871.604372173 871.604372089 871.604372248 871.604376514 -8.4e-08 7.5e-08 4.27e-06
872.605292732 872.605292663 872.605292821 872.605292910 -6.9e-08 8.9e-08 8.9e-08
873.606143806 873.606143737 873.606143939 873.606143985 -6.9e-08 1.33e-07 4.6e-08
874.606380764 874.606380678 874.606380827 874.606380881 -8.6e-08 6.3e-08 5.4e-08
875.607226251 875.607226234 875.607226439 875.607226512 -1.7e-08 1.88e-07 7.3e-08
876.608062445 876.608062376 876.608062565 876.608062640 -6.9e-08 1.2e-07 7.5e-08
877.608988445 877.608988376 877.608988559 877.608988633 -6.9e-08 1.14e-07 7.4e-08
878.609821944 878.609821888 878.609822060 878.609822116 -5.6e-08 1.16e-07 5.6e-08
879.610654945 879.610654888 879.610655049 879.610655097 -5.7e-08 1.04e-07 4.8e-08
880.611486260 880.611486161 880.611486320 880.611486358 -9.9e-08 6e-08 3.8e-08
881.612327106 881.612327037 881.612327242 881.612327290 -6.9e-08 1.36e-07 4.8e-08
882.613155769 882.613155706 882.613155894 882.613155946 -6.3e-08 1.25e-07 5.2e-08
883.613984513 883.613984482 883.613984717 883.613984784 -3.1e-08 2.04e-07 6.7e-08
884.614810157 884.614810060 884.614810207 884.614810262 -9.7e-08 5e-08 5.5e-08
885.615645118 885.615645045 885.615645221 885.615645313 -7.3e-08 1.03e-07 9.2e-08
886.616467767 886.616467681 886.616467841 886.616467892 -8.6e-08 7.4e-08 5.1e-08
887.617288939 887.617288870 887.617289042 887.617289103 -6.9e-08 1.03e-07 6.1e-08
888.618109244 888.618109158 888.618109331 888.618109397 -8.6e-08 8.7e-08 6.6e-08
889.618379254 889.618379187 889.618379356 889.618379423 -6.7e-08 1.02e-07 6.7e-08
890.619199229 890.619199188 890.619199399 890.619199485 -4.1e-08 1.7e-07 8.6e-08
891.619313379 891.619313323 891.619313510 891.619313587 -5.6e-08 1.31e-07 7.7e-08
892.620279511 892.620279421 892.620279582 892.620279646 -9e-08 7.1e-08 6.4e-08
893.621109483 893.621109471 893.621109688 893.621109763 -1.2e-08 2.05e-07 7.5e-08
894.621923987 894.621923917 894.621924090 894.621924167 -7e-08 1.03e-07 7.7e-08
895.622834389 895.622834319 895.622834509 895.622834588 -7e-08 1.2e-07 7.9e-08
896.623645891 896.623645804 896.623645965 896.623646029 -8.7e-08 7.4e-08 6.4e-08
897.624469476 897.624469463 897.624469694 897.624469768 -1.3e-08 2.18e-07 7.4e-08
898.625280364 898.625280335 898.625280526 898.625280614 -2.9e-08 1.62e-07 8.8e-08
899.626087585 899.626087515 899.626087687 899.626087762 -7e-08 1.02e-07 7.5e-08
900.626962365 900.626962296 900.626962469 900.626962553 -6.9e-08 1.04e-07 8.4e-08
901.627779239 901.627779169 901.627779343 901.627779415 -7e-08 1.04e-07 7.2e-08
902.628653699 902.628653615 902.628653775 902.628653827 -8.4e-08 7.6e-08 5.2e-08
903.629484100 903.629484030 903.629484207 903.629484260 -7e-08 1.07e-07 5.3e-08
904.630355757 904.630355745 904.630355951 904.630356026 -1.2e-08 1.94e-07 7.5e-08
905.631185526 905.631185520 905.631185714 905.631185787 -6e-09 1.88e-07 7.3e-08
906.632012925 906.632012853 906.632013003 906.632013050 -7.2e-08 7.8e-08 4.7e-08
907.632907428 907.632907404 907.632907682 907.632907826 -2.4e-08 2.54e-07 1.44e-07
908.633731964 908.633731877 908.633732053 908.633732131 -8.7e-08 8.9e-08 7.8e-08
909.634558850 909.634558821 909.634559050 909.634559133 -2.9e-08 2e-07 8.3e-08
910.635385928 910.635385893 910.635386102 910.635386174 -3.5e-08 1.74e-07 7.2e-08
911.636181031 911.636180993 911.636181261 911.636181337 -3.8e-08 2.3e-07 7.6e-08
912.636975970 912.636975959 912.636976181 912.636976251 -1.1e-08 2.11e-07 7e-08
913.637780039 913.637780023 913.637780238 913.637780311 -1.6e-08 1.99e-07 7.3e-08
914.638566996 914.638566898 914.638567072 914.638567132 -9.8e-08 7.6e-08 6e-08
915.639380700 915.639380683 915.639380914 915.639380986 -1.7e-08 2.14e-07 7.2e-08
916.640166135 916.640166066 916.640166242 916.640166322 -6.9e-08 1.07e-07 8e-08
917.640961472 917.640961399 917.640961561 917.640961645 -7.3e-08 8.9e-08 8.4e-08
918.641747166 918.641747161 918.641747350 918.641747413 -5e-09 1.84e-07 6.3e-08
919.642529493 919.642529470 919.642529660 919.642529737 -2.3e-08 1.67e-07 7.7e-08
920.643473366 920.643473280 920.643473457 920.643473526 -8.6e-08 9.1e-08 6.9e-08
921.644263060 921.644262975 921.644263150 921.644263210 -8.5e-08 9e-08 6e-08
922.645039986 922.645039916 922.645040066 922.645040118 -7e-08 8e-08 5.2e-08
923.645817038 923.645816952 923.645817115 923.645817167 -8.6e-08 7.7e-08 5.2e-08
924.646593218 924.646593120 924.646593269 924.646593322 -9.8e-08 5.1e-08 5.3e-08
925.647505227 925.647505158 925.647505334 925.647505417 -6.9e-08 1.07e-07 8.3e-08
926.648279390 926.648279384 926.648279586 926.648279660 -6e-09 1.96e-07 7.4e-08
927.649181242 927.649181234 927.649181430 927.649181501 -8e-09 1.88e-07 7.1e-08
928.649546301 928.649546283 928.649546502 928.649546576 -1.8e-08 2.01e-07 7.4e-08
929.650326981 929.650326912 929.650327084 929.650327164 -6.9e-08 1.03e-07 8e-08
930.651096358 930.651096274 930.651096422 930.651096476 -8.4e-08 6.4e-08 5.4e-08
931.651864473 931.651864385 931.651868355 931.651868427 -8.8e-08 3.88e-06 7.2e-08
932.652634333 932.652634236 932.652634401 932.652634467 -9.7e-08 6.8e-08 6.6e-08
933.653409447 933.653409378 933.653409555 933.653409629 -6.9e-08 1.08e-07 7.4e-08
934.654380708 934.654380731 934.654380935 934.654380998 2.3e-08 2.27e-07 6.3e-08
935.655144464 935.655144483 935.655144691 935.655144766 1.9e-08 2.27e-07 7.5e-08
936.655907358 936.655907330 936.655907491 936.655907573 -2.8e-08 1.33e-07 8.2e-08
937.656676704 937.656676725 937.656676898 937.656676973 2.1e-08 1.94e-07 7.5e-08
938.657435105 938.657435020 938.657435178 938.657435235 -8.5e-08 7.3e-08 5.7e-08
939.658194990 939.658194893 939.658195054 939.658195112 -9.7e-08 6.4e-08 5.8e-08
940.658949303 940.658949206 940.658949353 940.658949407 -9.7e-08 5e-08 5.4e-08
941.659714057 941.659714076 941.659714279 941.659714316 1.9e-08 2.22e-07 3.7e-08
942.660467681 942.660467584 942.660467746 942.660467783 -9.7e-08 6.5e-08 3.7e-08
943.661221781 943.661221756 943.661221980 943.661222051 -2.5e-08 1.99e-07 7.1e-08
944.661972098 944.661972046 944.661972232 944.661972314 -5.2e-08 1.34e-07 8.2e-08
945.662731840 945.662731770 945.662731952 945.662732024 -7e-08 1.12e-07 7.2e-08
946.663479339 946.663479248 946.663479407 946.663479458 -9.1e-08 6.8e-08 5.1e-08
947.664394376 947.664394290 947.664394451 947.664394502 -8.6e-08 7.5e-08 5.1e-08
948.665269286 948.665269201 948.665269364 948.665269414 -8.5e-08 7.8e-08 5e-08
949.666028884 949.666028787 949.666028946 949.666028999 -9.7e-08 6.2e-08 5.3e-08
950.666963865 950.666963827 950.666963998 950.666964090 -3.8e-08 1.33e-07 9.2e-08
951.667709317 951.667709321 951.667709529 951.667709604 4e-09 2.12e-07 7.5e-08
952.668549057 952.668548975 952.668549162 952.668549221 -8.2e-08 1.05e-07 5.9e-08
953.669301664 953.669301652 953.669301883 953.669301957 -1.2e-08 2.19e-07 7.4e-08
954.670041985 954.670041897 954.670042086 954.670042146 -8.8e-08 1.01e-07 6e-08
955.670778876 955.670778807 955.670778984 955.670779054 -6.9e-08 1.08e-07 7e-08
956.671513975 956.671513890 956.671514049 956.671514110 -8.5e-08 7.4e-08 6.1e-08
957.672261645 957.672261621 957.672261855 957.672261930 -2.4e-08 2.1e-07 7.5e-08
958.672996265 958.672996236 958.672996466 958.672996542 -2.9e-08 2.01e-07 7.6e-08
959.673728651 959.673728594 959.673728765 959.673728845 -5.7e-08 1.14e-07 8e-08
960.674534754 960.674534667 960.674534829 960.674534904 -8.7e-08 7.5e-08 7.5e-08
961.675479871 961.675479802 961.675479963 961.675480020 -6.9e-08 9.2e-08 5.7e-08
962.676264496 962.676264428 962.676264589 962.676264756 -6.8e-08 9.3e-08 1.67e-07
963.677004885 963.677004872 963.677005148 963.677005360 -1.3e-08 2.63e-07 2.12e-07
964.677747013 964.677747002 964.677747429 964.677747568 -1.1e-08 4.16e-07 1.39e-07
965.678488414 965.678488362 965.678488669 965.678494805 -5.2e-08 2.55e-07 6.14e-06
966.679230515 966.679230430 966.679230581 966.679230643 -8.5e-08 6.6e-08 6.2e-08
967.679967597 967.679967567 967.679967988 967.679968142 -3e-08 3.91e-07 1.54e-07
968.680758040 968.680757972 968.680758156 968.680758223 -6.8e-08 1.16e-07 6.7e-08
969.681118536 969.681118451 969.681118616 969.681118677 -8.5e-08 8e-08 6.1e-08
970.681780930 970.681780917 970.681781340 970.681781481 -1.3e-08 4.1e-07 1.41e-07
971.682501275 971.682501299 971.682501579 971.682501721 2.4e-08 3.04e-07 1.42e-07
972.683380825 972.683380775 972.683381047 972.683381189 -5e-08 2.22e-07 1.42e-07
973.684352263 973.684352251 973.684352565 973.684352708 -1.2e-08 3.02e-07 1.43e-07
974.685225968 974.685226046 974.685226240 974.685226334 7.8e-08 2.72e-07 9.4e-08
975.685941443 975.685941392 975.685941581 975.685941647 -5.1e-08 1.38e-07 6.6e-08
976.686751910 976.686751859 976.686752130 976.686752270 -5.1e-08 2.2e-07 1.4e-07
977.687474501 977.687474479 977.687474757 977.687474901 -2.2e-08 2.56e-07 1.44e-07
978.688225394 978.688225384 978.688225748 978.688225887 -1e-08 3.54e-07 1.39e-07
979.689015055 979.689015045 979.689015262 979.689015343 -1e-08 2.07e-07 8.1e-08
980.689705763 980.689705750 980.689705935 980.689706011 -1.3e-08 1.72e-07 7.6e-08
981.690422681 981.690422662 981.690422865 981.690422938 -1.9e-08 1.84e-07 7.3e-08
982.691058085 982.691064167 982.691064341 982.691064418 6.08e-06 6.26e-06 7.7e-08
983.691121798 983.691121784 983.691122001 983.691122074 -1.4e-08 2.03e-07 7.3e-08
984.691731500 984.691731431 984.691731604 984.691731689 -6.9e-08 1.04e-07 8.5e-08
985.692600024 985.692599954 985.692600162 985.692600239 -7e-08 1.38e-07 7.7e-08
986.693154160 986.693154109 986.693154283 986.693154362 -5.1e-08 1.23e-07 7.9e-08
987.693855731 987.693855721 987.693855897 987.693855970 -1e-08 1.66e-07 7.3e-08
988.694362053 988.694362041 988.694362271 988.694362416 -1.2e-08 2.18e-07 1.45e-07
989.695072857 989.695072848 989.695073036 989.695073120 -9e-09 1.79e-07 8.4e-08
990.695530890 990.695530844 990.695531018 990.695531060 -4.6e-08 1.28e-07 4.2e-08
991.696362393 991.696362323 991.696362531 991.696362608 -7e-08 1.38e-07 7.7e-08
992.696770884 992.696770906 992.696771082 992.696771156 2.2e-08 1.98e-07 7.4e-08
993.697477220 993.697477169 993.697477358 993.697477429 -5.1e-08 1.38e-07 7.1e-08
994.697842768 994.697842757 994.697842929 994.697843000 -1.1e-08 1.61e-07 7.1e-08
995.698536839 995.698536815 995.698537021 995.698537094 -2.4e-08 1.82e-07 7.3e-08
996.698879513 996.698879504 996.698879669 996.698879747 -9e-09 1.56e-07 7.8e-08
997.699580412 997.699580361 997.699580522 997.699580581 -5.1e-08 1.1e-07 5.9e-08
998.699866466 998.699866398 998.699866563 998.699866617 -6.8e-08 9.7e-08 5.4e-08
999.700556923 999.700556837 999.700556986 999.700557024 -8.6e-08 6.3e-08 3.8e-08
1000.700807630 1000.700807607 1000.700807825 1000.700807896 -2.3e-08 1.95e-07 7.1e-08
1001.701381684 1001.701381659 1001.701381875 1001.701381956 -2.5e-08 1.91e-07 8.1e-08
1002.701599049 1002.701598964 1002.701599154 1002.701599223 -8.5e-08 1.05e-07 6.9e-08
1003.702524062 1003.702524038 1003.702524255 1003.702524322 -2.4e-08 1.93e-07 6.7e-08
1004.702701943 1004.702701919 1004.702702135 1004.702702212 -2.4e-08 1.92e-07 7.7e-08
1005.703593394 1005.703593371 1005.703593587 1005.703593659 -2.3e-08 1.93e-07 7.2e-08
1006.703730081 1006.703730063 1006.703730345 1006.703730494 -1.8e-08 2.64e-07 1.49e-07
1007.704487967 1007.704488001 1007.704488273 1007.704488418 3.4e-08 3.06e-07 1.45e-07
1008.704589072 1008.704589077 1008.704589267 1008.704589412 5e-09 1.95e-07 1.45e-07
1009.705465405 1009.705465395 1009.705465666 1009.705465805 -1e-08 2.61e-07 1.39e-07
1010.705530294 1010.705530269 1010.705530550 1010.705530688 -2.5e-08 2.56e-07 1.38e-07
1011.706216741 1011.706216730 1011.706217005 1011.706217151 -1.1e-08 2.64e-07 1.46e-07
1012.706253286 1012.706253262 1012.706253540 1012.706253845 -2.4e-08 2.54e-07 3.05e-07
1013.706946760 1013.706946735 1013.706947203 1013.706947345 -2.5e-08 4.43e-07 1.42e-07
1014.706974934 1014.706974950 1014.706975226 1014.706975370 1.6e-08 2.92e-07 1.44e-07
1015.707692717 1015.707692705 1015.707693077 1015.707693219 -1.2e-08 3.6e-07 1.42e-07
1016.708666716 1016.708666705 1016.708666979 1016.708667121 -1.1e-08 2.63e-07 1.42e-07
1017.709384235 1017.709384212 1017.709384430 1017.709384503 -2.3e-08 1.95e-07 7.3e-08
1018.710351987 1018.710351975 1018.710352351 1018.710352425 -1.2e-08 3.64e-07 7.4e-08
1019.710982509 1019.710982540 1019.710982814 1019.710982887 3.1e-08 3.05e-07 7.3e-08
1020.711947312 1020.711947300 1020.711947575 1020.711947804 -1.2e-08 2.63e-07 2.29e-07
1021.712907317 1021.712907267 1021.712907547 1021.712907694 -5e-08 2.3e-07 1.47e-07
1022.713870542 1022.713870519 1022.713870795 1022.713870955 -2.3e-08 2.53e-07 1.6e-07
1023.714540854 1023.714540843 1023.714541114 1023.714541255 -1.1e-08 2.6e-07 1.41e-07
1024.715501006 1024.715500984 1024.715501200 1024.715501272 -2.2e-08 1.94e-07 7.2e-08
1025.716458470 1025.716458446 1025.716458723 1025.716458866 -2.4e-08 2.53e-07 1.43e-07
1026.717416658 1026.717416732 1026.717417009 1026.717417152 7.4e-08 3.51e-07 1.43e-07
1027.718079694 1027.718079671 1027.718079950 1027.718080093 -2.3e-08 2.56e-07 1.43e-07
1028.719033014 1028.719033074 1028.719033265 1028.719033412 6e-08 2.51e-07 1.47e-07
1029.719702904 1029.719702872 1029.719703077 1029.719703216 -3.2e-08 1.73e-07 1.39e-07
1030.720654958 1030.720654935 1030.720655223 1030.720655522 -2.3e-08 2.65e-07 2.99e-07
1031.721312288 1031.721312280 1031.721312549 1031.721312596 -8e-09 2.61e-07 4.7e-08
1032.721383982 1032.721383971 1032.721384175 1032.721384245 -1.1e-08 1.93e-07 7e-08
1033.722267838 1033.722267825 1033.722268034 1033.722268175 -1.3e-08 1.96e-07 1.41e-07
1034.723230392 1034.723230355 1034.723230587 1034.723230730 -3.7e-08 1.95e-07 1.43e-07
1035.723882634 1035.723882583 1035.723882787 1035.723882933 -5.1e-08 1.53e-07 1.46e-07
1036.724829401 1036.724829366 1036.724829593 1036.724829738 -3.5e-08 1.92e-07 1.45e-07
1037.725379455 1037.725379385 1037.725379567 1037.725379911 -7e-08 1.12e-07 3.44e-07
1038.726322048 1038.726322012 1038.726322229 1038.726322376 -3.6e-08 1.81e-07 1.47e-07
1039.726970093 1039.726970150 1039.726970463 1039.726970608 5.7e-08 3.7e-07 1.45e-07
1040.727910490 1040.727910420 1040.727910614 1040.727910757 -7e-08 1.24e-07 1.43e-07
1041.728776882 1041.728776871 1041.728777148 1041.728777292 -1.1e-08 2.66e-07 1.44e-07
1042.729207890 1042.729207878 1042.729208153 1042.729208298 -1.2e-08 2.63e-07 1.45e-07
1043.730068924 1043.730068982 1043.730069163 1043.730069323 5.8e-08 2.39e-07 1.6e-07
1044.731006691 1044.731006679 1044.731006966 1044.731007112 -1.2e-08 2.75e-07 1.46e-07
1045.731883676 1045.731883663 1045.731883945 1045.731884018 -1.3e-08 2.69e-07 7.3e-08
1046.732817108 1046.732817097 1046.732817371 1046.732817447 -1.1e-08 2.63e-07 7.6e-08
1047.733725411 1047.733725400 1047.733725674 1047.733725750 -1.1e-08 2.63e-07 7.6e-08
1048.734681598 1048.734681587 1048.734681864 1048.734681940 -1.1e-08 2.66e-07 7.6e-08
1049.735626015 1049.735626019 1049.735626300 1049.735626374 4e-09 2.85e-07 7.4e-08
1050.736581255 1050.736581206 1050.736581411 1050.736581481 -4.9e-08 1.56e-07 7e-08
1051.736622203 1051.736622154 1051.736622338 1051.736622416 -4.9e-08 1.35e-07 7.8e-08
1052.737109992 1052.737109923 1052.737110104 1052.737110185 -6.9e-08 1.12e-07 8.1e-08
1053.737379250 1053.737379181 1053.737379362 1053.737379441 -6.9e-08 1.12e-07 7.9e-08
1054.738334086 1054.738334035 1054.738334218 1054.738334295 -5.1e-08 1.32e-07 7.7e-08
1055.739278887 1055.739278876 1055.739279151 1055.739279225 -1.1e-08 2.64e-07 7.4e-08
1056.740220747 1056.740220736 1056.740221043 1056.740221118 -1.1e-08 2.96e-07 7.5e-08
1057.740380221 1057.740380170 1057.740380360 1057.740380448 -5.1e-08 1.39e-07 8.8e-08
1058.741323985 1058.741323934 1058.741324115 1058.741324189 -5.1e-08 1.3e-07 7.4e-08
1059.742269742 1059.742269673 1059.742269855 1059.742269929 -6.9e-08 1.13e-07 7.4e-08
1060.743138797 1060.743138750 1060.743139024 1060.743139105 -4.7e-08 2.27e-07 8.1e-08
1061.743383079 1061.743383061 1061.743383333 1061.743383407 -1.8e-08 2.54e-07 7.4e-08
1062.744025742 1062.744025730 1062.744025948 1062.744026031 -1.2e-08 2.06e-07 8.3e-08
1063.744382873 1063.744382861 1063.744383096 1063.744383172 -1.2e-08 2.23e-07 7.6e-08
1064.745316495 1064.745316482 1064.745316700 1064.745316789 -1.3e-08 2.05e-07 8.9e-08
1065.746250403 1065.746250380 1065.746250597 1065.746250671 -2.3e-08 1.94e-07 7.4e-08
1066.747024984 1066.747024992 1066.747025194 1066.747025262 8e-09 2.1e-07 6.8e-08
1067.747950847 1067.747950778 1067.747950960 1067.747951053 -6.9e-08 1.13e-07 9.3e-08
1068.748882870 1068.748882800 1068.748882984 1068.748883064 -7e-08 1.14e-07 8e-08
1069.749831282 1069.749831231 1069.749831422 1069.749831507 -5.1e-08 1.4e-07 8.5e-08
1070.750381711 1070.750381700 1070.750381915 1070.750381990 -1.1e-08 2.04e-07 7.5e-08
1071.750792774 1071.750792739 1071.750792974 1071.750793056 -3.5e-08 2e-07 8.2e-08
1072.751514171 1072.751514136 1072.751514347 1072.751514427 -3.5e-08 1.76e-07 8e-08
1073.752431981 1073.752431958 1073.752432189 1073.752432263 -2.3e-08 2.08e-07 7.4e-08
1074.753362555 1074.753362546 1074.753362742 1074.753362815 -9e-09 1.87e-07 7.3e-08
1075.754275255 1075.754275232 1075.754275453 1075.754275525 -2.3e-08 1.98e-07 7.2e-08
1076.754381096 1076.754381125 1076.754381337 1076.754381424 2.9e-08 2.41e-07 8.7e-08
1077.755310075 1077.755310053 1077.755310259 1077.755310336 -2.2e-08 1.84e-07 7.7e-08
1078.756249455 1078.756249442 1078.756249656 1078.756249730 -1.3e-08 2.01e-07 7.4e-08
1079.757203238 1079.757203226 1079.757203443 1079.757203532 -1.2e-08 2.05e-07 8.9e-08
1080.757599899 1080.757599904 1080.757600108 1080.757600183 5e-09 2.09e-07 7.5e-08
1081.758006581 1081.758006582 1081.758006794 1081.758006874 1e-09 2.13e-07 8e-08
1082.758930676 1082.758930668 1082.758930901 1082.758930975 -8e-09 2.25e-07 7.4e-08
1083.759273975 1083.759273931 1083.759274141 1083.759274214 -4.4e-08 1.66e-07 7.3e-08
1084.760203862 1084.760203833 1084.760204043 1084.760204189 -2.9e-08 1.81e-07 1.46e-07
1085.761128444 1085.761128408 1085.761128588 1085.761128738 -3.6e-08 1.44e-07 1.5e-07
1086.761481775 1086.761481764 1086.761482060 1086.761482225 -1.1e-08 2.85e-07 1.65e-07
1087.762420080 1087.762420061 1087.762420342 1087.762420484 -1.9e-08 2.62e-07 1.42e-07
1088.763333431 1088.763333380 1088.763333568 1088.763333633 -5.1e-08 1.37e-07 6.5e-08
1089.763400772 1089.763400757 1089.763400975 1089.763401120 -1.5e-08 2.03e-07 1.45e-07
1090.763567405 1090.763567381 1090.763567792 1090.763567936 -2.4e-08 3.87e-07 1.44e-07
1091.764465126 1091.764465075 1091.764465344 1091.764465487 -5.1e-08 2.18e-07 1.43e-07
1092.765370082 1092.765370030 1092.765370320 1092.765370462 -5.2e-08 2.38e-07 1.42e-07
1093.766266678 1093.766266665 1093.766266939 1093.766267081 -1.3e-08 2.61e-07 1.42e-07
