1 179398
2 177647
3 178233
4 176088
5 175340
6 175104
7 174567
8 174464
9 174067
10 172848
11 172787
12 172078
13 170364
14 171499
15 169912
16 169582
18 168300
20 167084
22 167108
24 167438
26 164567
28 164381
30 162591
32 162718
36 160012
40 158375
44 155821
48 155869
52 154593
56 151662
60 151939
64 150480
72 149275
80 146141
88 144003
96 142493
104 141472
112 138614
120 135861
128 129640
144 117561
160 107117
176 95312.1
192 84993.3
208 72444.7
224 58454.2
240 61284
256 60756.9
288 62985.6
320 60264.7
352 49984
384 26206.7
416 5430.22
448 0
