1 16494.7
2 28424.2
3 39838
4 50541.7
5 62755.7
6 73124.1
7 83750
8 93535.5
9 105356
10 114985
11 125836
12 133763
13 144077
14 151452
15 160194
16 164595
18 181787
20 191076
22 208472
24 223604
26 241027
28 258452
30 280888
32 299012
36 337489
40 375140
44 404841
48 434584
52 464228
56 495292
60 533738
64 572172
72 635343
80 695399
88 764202
96 837801
104 897973
112 925705
120 997688
128 1.05824e+06
144 1.18262e+06
160 1.30881e+06
176 1.43299e+06
192 1.55336e+06
208 1.68318e+06
224 1.81225e+06
240 1.90013e+06
256 1.99634e+06
288 2.17215e+06
320 2.3518e+06
352 2.53188e+06
384 2.70427e+06
416 2.87305e+06
448 2.99589e+06
