1 17118.5
2 27906.7
3 42305
4 54796.7
5 64539.8
6 78649.4
7 90499.5
8 102917
9 114857
10 124742
11 137447
12 147180
13 160311
14 167991
15 181750
16 180765
18 203867
20 219430
22 242894
24 252814
26 271910
28 299438
30 327950
32 351838
36 397982
40 441176
44 479682
48 515531
52 550412
56 586100
60 633818
64 676731
72 757694
80 827240
88 911534
96 1.00064e+06
104 1.07393e+06
112 1.08007e+06
120 1.15824e+06
128 1.23068e+06
144 1.36423e+06
160 1.51084e+06
176 1.65319e+06
192 1.79516e+06
208 1.93323e+06
224 2.09125e+06
240 2.19738e+06
256 2.30733e+06
288 2.52278e+06
320 2.73101e+06
352 2.90595e+06
384 3.1137e+06
416 3.31596e+06
448 3.4735e+06
