1 30311.5
2 51969.3
3 71154.8
4 88492
5 106687
6 122457
7 136752
8 151909
9 166034
10 180713
11 194938
12 206380
13 220225
14 233290
15 245986
16 247670
18 272477
20 286178
22 309659
24 327511
26 351741
28 374616
30 403559
32 429113
36 482812
40 533723
44 573799
48 615776
52 657967
56 702522
60 755185
64 806385
72 898604
80 982569
88 1.07899e+06
96 1.1798e+06
104 1.25967e+06
112 1.33489e+06
120 1.4451e+06
128 1.53276e+06
144 1.71193e+06
160 1.89021e+06
176 2.07767e+06
192 2.24625e+06
208 2.44588e+06
224 2.61041e+06
240 2.66142e+06
256 2.71339e+06
288 2.83085e+06
320 2.947e+06
352 3.06708e+06
384 3.17895e+06
416 3.30193e+06
448 3.36011e+06
