1 1 a/f: 15658345  fail: 0
1 2 a/f: 15880388  fail: 0
1 3 a/f: 15874602  fail: 0
1 4 a/f: 15845228  fail: 0
1 5 a/f: 15810860  fail: 0
1 6 a/f: 15653514  fail: 0
1 7 a/f: 10338251  fail: 0
1 8 a/f: 10733080  fail: 0
1 9 a/f: 11010969  fail: 0
1 10 a/f: 8620470  fail: 0
1 11 a/f: 8839127  fail: 0
1 12 a/f: 9410304  fail: 0
1 13 a/f: 7992309  fail: 0
1 14 a/f: 8234422  fail: 0
1 15 a/f: 8564085  fail: 0
1 16 a/f: 7639312  fail: 0
1 17 a/f: 7784810  fail: 0
1 18 a/f: 8017434  fail: 0
1 19 a/f: 7391912  fail: 0
1 20 a/f: 7524000  fail: 0
1 21 a/f: 7725417  fail: 0
1 22 a/f: 7345976  fail: 0
1 23 a/f: 7426838  fail: 0
1 24 a/f: 7590528  fail: 0
