2 1 a/f: 26420996  fail: 0
2 2 a/f: 26785928  fail: 0
2 3 a/f: 26727288  fail: 0
2 4 a/f: 26670412  fail: 0
2 5 a/f: 26556865  fail: 0
2 6 a/f: 26333778  fail: 0
2 7 a/f: 5238688  fail: 0
2 8 a/f: 5556296  fail: 0
2 9 a/f: 10555578  fail: 0
2 10 a/f: 3833310  fail: 0
2 11 a/f: 4250697  fail: 0
2 12 a/f: 4602336  fail: 0
2 13 a/f: 3611699  fail: 0
2 14 a/f: 3848558  fail: 0
2 15 a/f: 4129215  fail: 0
2 16 a/f: 3233152  fail: 0
2 17 a/f: 3546829  fail: 0
2 18 a/f: 3643452  fail: 0
2 19 a/f: 3150720  fail: 65277
2 20 a/f: 3879282  fail: 123638
2 21 a/f: 4012270  fail: 192560
2 22 a/f: 3674680  fail: 280194
2 23 a/f: 3588143  fail: 420159
2 24 a/f: 3544001  fail: 515527
