1 27536.7
2 47200.3
3 63586.2
4 82998.9
5 95486.3
6 116024
7 130714
8 142994
9 157218
10 169320
11 182313
12 196310
13 205732
14 224483
15 232681
16 235614
18 259402
20 278829
22 300255
24 316405
26 338665
28 374251
30 406611
32 435117
36 486953
40 540297
44 580479
48 623524
52 665410
56 702613
60 765828
64 813614
72 906608
80 990686
88 1.09356e+06
96 1.20069e+06
104 1.28065e+06
112 1.31703e+06
120 1.41271e+06
128 1.49927e+06
144 1.67612e+06
160 1.84805e+06
176 2.02033e+06
192 2.18537e+06
208 2.37006e+06
224 2.54503e+06
240 2.60177e+06
256 2.69057e+06
288 2.83899e+06
320 2.99058e+06
352 3.14372e+06
384 3.29976e+06
416 3.44993e+06
448 3.54319e+06
