1 28494.8
2 49274.7
3 67628.2
4 83102.1
5 98944.2
6 114064
7 126895
8 140897
9 154655
10 170841
11 181703
12 191995
13 206548
14 215720
15 228601
16 231480
18 254355
20 269101
22 289827
24 308472
26 330989
28 355421
30 382606
32 408911
36 457667
40 506586
44 545313
48 584768
52 621905
56 663834
60 712008
64 762526
72 849702
80 927310
88 1.01578e+06
96 1.11412e+06
104 1.19096e+06
112 1.22981e+06
120 1.32478e+06
128 1.41201e+06
144 1.57494e+06
160 1.73693e+06
176 1.90348e+06
192 2.06213e+06
208 2.23489e+06
224 2.40747e+06
240 2.46482e+06
256 2.52365e+06
288 2.66092e+06
320 2.79991e+06
352 2.94367e+06
384 3.08791e+06
416 3.22881e+06
448 3.27979e+06
